Image,X (m),Y (m),Z (m),RX (rad),RY (rad),RZ (rad),Base (deg),Shoulder (deg),Elbow (deg),Wrist1 (deg),Wrist2 (deg),Wrist3 (deg)
1,-0.00025,-0.2324,1.07949,0.002,2.221,-2.224,0,-90,0,-90,0,0
2,0.44069,-0.49642,0.72559,1.158,-1.078,0.411,-27.87,-129.81,-2.76,-169.35,0.01,-0.11
3,0.04222,-0.24257,0.89661,1.167,-1.814,2.149,29.04,-111.39,70.09,-175.28,0.03,-0.11
4,-0.61443,-0.38019,0.44141,0.203,1.941,-1.839,12.96,-49.84,70.03,-175.26,0,-0.11
5,-0.10959,-0.84353,0.13575,0.255,2.725,-1.21,71.55,-27.27,62.59,-171.27,-72.46,-0.11
6,0.1697,-0.47917,0.15141,0.125,-3.388,0.59,90.86,-66.48,128.08,-171.46,-72.45,-0.11
7,0.09233,-0.58121,0.62475,0.289,2.329,0.048,78.84,-77.55,58.28,-63.58,-44.79,-0.12
8,-0.29798,-0.02642,0.97475,1.128,2.15,-2.444,-45.71,-101.4,52.18,-115.06,6.3,-0.11
9,0.47118,-0.81868,0.17469,0.685,-1.563,0.528,-45.85,-177.38,-1.28,-94.72,6.34,-0.1
10,0.03576,-0.25969,1.01571,0.45,-2.922,2.606,35.73,-103.17,41.88,-94.67,6.31,-0.09
11,-0.05958,-0.42415,0.93495,-0.545,1.722,-1.524,50,-85,45,-125,0,-0.11
12,-0.09923,-0.28138,0.85258,-0.319,-1.73,1.174,-60,-140,80,-155,5,-0.11
